id,iteration,target_feature,pseudo_feature,actual_feature,distance,selection_method,P_hit,U_i,group_key,mode,is_valid,target_label
job_042_Cr_fe_-0.962_n4_generated_crystals_cif__gen_0,4,-2.1,-2.080366611480713,-2.158137083053589,0.0196333885192871,gated_ta_dpp,0.3169069870301667,0.0244176886828733,LiCr2O4,dpp_diverse,1,1
job_204_Cr_fe_-0.932_n4_generated_crystals_cif__gen_3,4,-2.1,-2.0059754848480225,-2.176752805709839,0.0940245151519776,gated_ta_dpp,0.3156254525412974,0.0172991523586576,LiCr2O4,dpp_diverse,1,1
job_171_Cr_fe_-1.042_n4_generated_crystals_cif__gen_1,4,-2.1,-2.173978567123413,-2.201009511947632,-0.073978567123413,gated_ta_dpp,0.3098295150237197,0.0218164163463439,LiCr2O4,dpp_diverse,0,0
job_154_Mn_fe_-1.207_n4_generated_crystals_cif__gen_1,5,-2.1,-2.023374557495117,-2.0003502368927,0.0766254425048829,gated_ta_dpp,0.486109170737915,0.0183420874464582,LiMn2O4,dpp_diverse,0,0
job_136_Cr_fe_-1.181_n4_generated_crystals_cif__gen_0,5,-2.1,-2.1237781047821045,-2.177961587905884,-0.0237781047821044,gated_ta_dpp,0.4482454349785596,0.0306544642180274,LiCr2O4,dpp_diverse,1,1
job_079_Cr_fe_-0.854_n4_generated_crystals_cif__gen_1,5,-2.1,-2.1235859394073486,-2.136512517929077,-0.0235859394073485,gated_ta_dpp,0.4275343872061843,0.0325308340190521,LiCr2O4,dpp_diverse,1,1
job_061_Mn_fe_-1.231_n4_generated_crystals_cif__gen_0,5,-2.1,-2.014198303222656,-2.01950740814209,0.0858016967773442,gated_ta_dpp,0.3932093905836841,0.028189643087189,LiMn2O4,dpp_diverse,0,0
job_146_Cr_fe_-1.128_n4_generated_crystals_cif__gen_1,5,-2.1,-2.09958291053772,-2.148542881011963,0.0004170894622799,gated_ta_dpp,0.3965581525376894,0.036119073218367,LiCr2O4,dpp_diverse,1,1
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_2,5,-2.1,-2.015925884246826,-2.017267227172852,0.0840741157531739,gated_ta_dpp,0.3849684438346346,0.0299421822980016,LiMn2O4,dpp_diverse,0,0
job_220_Cr_fe_-1.305_n4_generated_crystals_cif__gen_0,5,-2.1,-2.1716504096984863,-2.215806245803833,-0.0716504096984862,gated_ta_dpp,0.3900383629795813,0.0318560161583136,LiCr2O4,dpp_diverse,0,0
job_017_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,5,-2.1,-2.0073564052581787,-2.0187184810638428,0.0926435947418213,gated_ta_dpp,0.3624149928883018,0.0313038928625042,LiMn2O4,dpp_diverse,0,0
job_016_Cr_fe_-1.264_n4_generated_crystals_cif__gen_1,5,-2.1,-2.1512959003448486,-2.211752653121948,-0.0512959003448485,gated_ta_dpp,0.3760051116178688,0.0362399556894817,LiCr2O4,dpp_diverse,0,0
job_208_Cr_fe_-1.031_n4_generated_crystals_cif__gen_2,5,-2.1,-2.153481721878052,-2.208385467529297,-0.0534817218780521,gated_ta_dpp,0.3730413087232393,0.0364085178345913,LiCr2O4,dpp_diverse,0,0
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_0,5,-2.1,-2.162195920944214,-2.210746049880981,-0.0621959209442137,gated_ta_dpp,0.3695238467691927,0.0359265042202651,LiCr2O4,dpp_diverse,0,0
job_130_Cr_fe_-1.335_n4_generated_crystals_cif__gen_1,5,-2.1,-2.191103458404541,-2.173297643661499,-0.0911034584045409,gated_ta_dpp,0.3630874081028256,0.0316270246649728,LiCr2O4,dpp_diverse,1,1
job_176_Mn_fe_-0.980_n4_generated_crystals_cif__gen_0,5,-2.1,-2.0202314853668213,-2.0098371505737305,0.0797685146331788,gated_ta_dpp,0.3345839942770806,0.0388024430076871,LiMn2O4,dpp_diverse,0,0
job_112_Cr_fe_-1.215_n4_generated_crystals_cif__gen_3,5,-2.1,-2.126637935638428,-2.181488037109375,-0.026637935638428,gated_ta_dpp,0.3582194392370589,0.0401067505309055,LiCr2O4,dpp_diverse,0,0
job_214_Cr_fe_-0.857_n4_generated_crystals_cif__gen_1,5,-2.1,-2.1008574962615967,-2.21838641166687,-0.0008574962615965,gated_ta_dpp,0.3348874173664017,0.0438652134198222,LiCr2O4,dpp_diverse,0,0
job_013_Cr_fe_-1.388_n4_generated_crystals_cif__gen_1,5,-2.1,-2.2053818702697754,-2.229992151260376,-0.1053818702697753,gated_ta_dpp,0.3366193091352845,0.0322938196341266,LiCr2O4,dpp_diverse,0,0
job_094_Cr_fe_-0.989_n4_generated_crystals_cif__gen_0,6,-2.1,-2.0674259662628174,-2.136093616485596,0.0325740337371827,gated_ta_dpp,0.3884612152588144,0.0220301726478223,LiCr2O4,dpp_diverse,1,1
job_176_Mn_fe_-0.980_n4_generated_crystals_cif__gen_1,6,-2.1,-1.98414945602417,-2.0186314582824707,0.1158505439758301,gated_ta_dpp,0.3286539431932417,0.0142855558535635,LiMn2O4,dpp_diverse,0,0
job_207_Cr_fe_-0.848_n4_generated_crystals_cif__gen_2,6,-2.1,-2.1758742332458496,-2.1844170093536377,-0.0758742332458495,gated_ta_dpp,0.3784080310053861,0.0183934709132548,LiCr2O4,dpp_diverse,0,0
