candidate_id,m_element,formula,cif_sha256,structure_matcher_cluster,structure_matcher_cluster_size,atom_count,space_group_number,min_interatomic_distance,volume_per_atom,chgnet_initial_energy_eV_atom,chgnet_final_energy_eV_atom,chgnet_max_force_eV_A,chgnet_stress_GPa,chgnet_volume_change_fraction,chgnet_min_interatomic_distance_A,chgnet_rms_displacement_A,chgnet_final_space_group_number,mace_initial_energy_eV_atom,mace_final_energy_eV_atom,mace_max_force_eV_A,mace_stress_GPa,mace_volume_change_fraction,mace_min_interatomic_distance_A,mace_rms_displacement_A,mace_final_space_group_number,mlip_energy_disagreement_eV_atom,mlip_rms_displacement_disagreement_A,mlip_volume_change_disagreement_fraction,p_dft_evaluable,evaluability_uncertainty,composition_only_probability,predicted_dft_energy_mean,predicted_dft_energy_std,p_interval_hit,energy_calibration_model_id,p_interval_alignn,p_interval_mlip,dft_evaluability_model,evidence_tier
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_1,Mn,Li1 Mn2 O4,0ce85b7361a87f55926b6ced6a7b1cf28fa839eac6dfac90cf36bec9c1b270a5,SM_Mn_004,35,7.0,1,1.915167,10.762415,-7.722319466727121,-7.722480228969029,0.0907737422660045,0.822167949478662,0.0005258181497351,1.9170359886744424,0.0021272663174618,2,-6.853720003839255,-6.8539854230133335,0.0991961522314239,1.2325666890069449,0.0007182817321507,1.915288167969171,0.0026543543059467,2,0.8684948059556952,0.0005270879884849001,0.00019246358241559994,0.3973394732797211,0.24921430190719607,0.5,-1.8580503299717375,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_020_Mn_fe_-0.989_n4_generated_crystals_cif__gen_3,Mn,Li1 Mn2 O4,d6bdcb6a5bec336b837859b592c47446a25056360b502548c8059479ee1d239e,SM_Mn_008,9,7.0,1,1.922844,11.650976,-7.712364196777344,-7.714024135044643,0.0549618124683376,0.5288170245790158,-0.0030095230105597,1.923409042973478,0.0136467491929703,1,-6.841840606275389,-6.843740820677347,0.0753126608154441,0.7777300994399634,-0.002390611891906,1.9187121691012912,0.0124050815767374,1,0.8702833143672963,0.0012416676162329,0.0006189111186536999,0.4267246524123038,0.24899839307147806,0.5,-1.847805727635751,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_021_Mg_fe_-1.413_n4_generated_crystals_cif__gen_0,Mg,Li1 Mg2 O4,3d3ebc368b1d947f7645d0117ba6e1d86ce47bf3d90c6ffb327182a4db79bccc,SM_Mg_002,3,7.0,47,2.096453,10.627643,-5.442507607596261,-5.445556640625,0.0128671219384656,1.4060186865525608,-0.0213449709571835,2.085256270128668,0.0014656420362766,123,-5.076400646687705,-5.08347589379317,0.0077065403997935,1.4424354445496377,-0.0377049984414664,2.069501685899016,0.0016488877513525,123,0.3620807468318299,0.00018324571507590003,0.0163600274842829,0.6324371421300417,0.2775553171108445,0.75,-1.5366756961530417,0.02,0.9666570281152737,MACE-MP::composition_offset,0.9999999998578374,0.9666570281152737,shallow_gradient_boosting,ML_estimate_only
job_021_Mg_fe_-1.413_n4_generated_crystals_cif__gen_3,Mg,Li1 Mg2 O4,128a6c0116a760efd53c41e5b9a5e555be5cb6b735dd3e1265d61877fcc61a3d,SM_Mg_003,8,7.0,8,1.970443,10.142321,-5.449878692626953,-5.451449257986886,0.0144932505617098,1.269021582338172,0.0144684186461316,1.9956757326994088,0.0070234722520877,139,-5.086657213235789,-5.086769698730175,0.0167545109104086,1.504220348565701,0.0010434394974572,1.97311505245719,0.0012443491008543,139,0.3646795592567109,0.0057791231512334,0.0134249791486744,0.816774087595426,0.14719904271723983,0.75,-1.539969501090047,0.02,0.9771674091210003,MACE-MP::composition_offset,0.6966116240500406,0.9771674091210003,shallow_gradient_boosting,ML_estimate_only
job_024_Mg_fe_-0.880_n4_generated_crystals_cif__gen_0,Mg,Li1 Mg2 O4,e31ef546cd0b5dbc12dc24ff8691047c9889dda7df6cdd43a80cd1106c2dcc1c,SM_Mg_004,15,7.0,8,2.023712,10.952227,-5.4545407976423,-5.461039406912668,0.0529752778062523,1.344446141187129,0.0129619442146717,2.024713637826137,0.0494372796315614,119,-5.064793536968374,-5.065522648984705,0.0244180891338419,1.428731571743008,-0.0025069456995452,2.0283150699948718,0.0035799067560585,119,0.3955167579279637,0.0458573728755029,0.0154688899142169,0.7848636232008771,0.16477935993198564,0.75,-1.5187224513445763,0.02,0.8253949574748727,MACE-MP::composition_offset,0.8843484152164554,0.8253949574748727,shallow_gradient_boosting,ML_estimate_only
job_024_Mg_fe_-0.880_n4_generated_crystals_cif__gen_3,Mg,Li1 Mg2 O4,37ee89b346b5021774944c231056882893de1d34cf579a71c8728f72fde019dd,SM_Mg_006,1,7.0,8,1.859843,10.958678,-5.419719696044922,-5.459417070661273,0.0917159734316858,1.291701264535396,0.0661603115725073,1.973986190455469,0.1168364987539173,8,-5.03852531118334,-5.061671396936371,0.0685364052693138,1.2033107272000727,0.0512209225348576,1.9102059025812996,0.0780577663767545,8,0.3977456737249012,0.0387787323771628,0.014939389037649707,0.23533165222440716,0.18957598323780067,0.75,-1.514871199296243,0.02,0.7714286343467657,MACE-MP::composition_offset,1.5544890806729879e-09,0.7714286343467657,shallow_gradient_boosting,ML_estimate_only
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_1,Cr,Li1 Cr2 O4,1cbbcd701d0d49de36fa1de028be17ccbed2d565a25fa2361aefdfbb73651909,SM_Cr_006,14,7.0,1,1.934655,10.443233,-8.06619153703962,-8.06912612915039,0.0764748803429018,1.44117477536609,0.0061989763303362,1.942314539892322,0.0173989460630432,12,-7.091183057545587,-7.092440513872662,0.0582390961228639,0.8907811187755252,0.0021980123436398,1.9498035674318972,0.0106292327068843,12,0.976685615277729,0.006769713356158901,0.0040009639866964005,0.8957765114792163,0.11426608162097666,0.42857142857142855,-2.285005339928114,0.02,0.7732922369613362,MACE-MP::composition_offset,0.9227195767727974,0.7732922369613362,shallow_gradient_boosting,ML_estimate_only
job_029_Cr_fe_-1.337_n4_generated_crystals_cif__gen_3,Cr,Li1 Cr2 O4,6871cbd461f46bea7813508e40edab47a9cbe47d16148c6eab9d30bc31e4f107,SM_Cr_006,14,7.0,1,1.933056,10.411331,-8.06976590837751,-8.071099417550224,0.0868526330412457,1.0301414588902822,0.0047028159054809,1.9292084478726763,0.0149050662359833,12,-7.092899980397916,-7.093665912449368,0.0449966571151101,1.2698061347836036,0.0002484815636392,1.93888922899777,0.0081959184923966,12,0.9774335051008558,0.006709147743586701,0.004454334341841701,0.8822488100779574,0.13094846083837158,0.42857142857142855,-2.2862307385048206,0.02,0.7544193922329112,MACE-MP::composition_offset,0.8185960076827479,0.7544193922329112,shallow_gradient_boosting,ML_estimate_only
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_0,Mn,Li1 Mn2 O4,f309970653c1e143ac829bd162ade59a924a536196ae2cbac5ceb87c340ea8ed,SM_Mn_004,35,7.0,10,1.936094,10.866743,-7.723567962646484,-7.723721095493862,0.076618521900182,0.5049591087636897,4.83157854016536e-05,1.9346952821195595,0.0022347880299813,10,-6.854723708737102,-6.85525454081997,0.0674563233778248,1.1827176401481585,0.0009671381938196,1.9309920451770208,0.005909014533872,10,0.8684665546738923,0.0036742265038907,0.0009188224084179464,0.4678245412916306,0.2571997684735339,0.5,-1.8593194477783737,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
job_030_Mn_fe_-1.234_n4_generated_crystals_cif__gen_1,Mn,Li1 Mn2 O4,159e9a35339975e2d3b1fee78290ca6bc9fa25d3847881974a400fc11f99f373,SM_Mn_007,7,7.0,1,1.889735,10.259141,-7.671236310686384,-7.674539293561663,0.0943163277442172,0.7120916462365258,-0.0021217418162224,1.900976576641916,0.0297380239029342,1,-6.79453830986546,-6.79743601281514,0.0798447158266411,0.6461302750527252,-0.0047061132594606,1.8922251140184132,0.0252889996629948,1,0.8771032807465229,0.0044490242399393976,0.0025843714432382003,0.5016778945725521,0.2650277559542709,0.5,-1.8015009197735443,0.02,1.0,MACE-MP::composition_offset,1.0,1.0,shallow_gradient_boosting,ML_estimate_only
