method,seed,query,cumulative_targets
Energy-Gated DA-TPP,11,96,30
Energy-Gated DA-TPP,11,112,36
Energy-Gated DA-TPP,11,128,40
Energy-Gated DA-TPP,11,144,46
Energy-Gated DA-TPP,11,160,50
Energy-Gated DA-TPP,11,176,56
Energy-Gated DA-TPP,11,192,62
Energy-Gated DA-TPP,11,208,69
Energy-Gated DA-TPP,11,224,73
Energy-Gated DA-TPP,11,240,81
Energy-Gated DA-TPP,11,256,88
Energy-Gated DA-TPP,11,272,91
Energy-Gated DA-TPP,11,288,95
Energy-Gated DA-TPP,11,304,97
Energy-Gated DA-TPP,11,320,99
Energy-Gated DA-TPP,12,16,8
Energy-Gated DA-TPP,12,32,15
Energy-Gated DA-TPP,12,48,17
Energy-Gated DA-TPP,12,64,19
Energy-Gated DA-TPP,12,80,26
Energy-Gated DA-TPP,12,96,30
Energy-Gated DA-TPP,12,112,36
Energy-Gated DA-TPP,12,128,40
Energy-Gated DA-TPP,12,144,46
Energy-Gated DA-TPP,12,160,50
Energy-Gated DA-TPP,12,176,56
Energy-Gated DA-TPP,12,192,62
Energy-Gated DA-TPP,12,208,69
Energy-Gated DA-TPP,12,224,73
Energy-Gated DA-TPP,12,240,81
Energy-Gated DA-TPP,12,256,88
Energy-Gated DA-TPP,12,272,91
Energy-Gated DA-TPP,12,288,94
Energy-Gated DA-TPP,12,304,98
Energy-Gated DA-TPP,12,320,100
Energy-Gated DA-TPP,13,16,8
Energy-Gated DA-TPP,13,32,15
Energy-Gated DA-TPP,13,48,17
Energy-Gated DA-TPP,13,64,19
Energy-Gated DA-TPP,13,80,26
Energy-Gated DA-TPP,13,96,30
Energy-Gated DA-TPP,13,112,36
Energy-Gated DA-TPP,13,128,40
Energy-Gated DA-TPP,13,144,46
Energy-Gated DA-TPP,13,160,50
Energy-Gated DA-TPP,13,176,56
Energy-Gated DA-TPP,13,192,62
Energy-Gated DA-TPP,13,208,69
Energy-Gated DA-TPP,13,224,73
Energy-Gated DA-TPP,13,240,81
Energy-Gated DA-TPP,13,256,88
Energy-Gated DA-TPP,13,272,91
Energy-Gated DA-TPP,13,288,97
Energy-Gated DA-TPP,13,304,98
Energy-Gated DA-TPP,13,320,100
Energy-Gated DA-TPP,14,16,8
Energy-Gated DA-TPP,14,32,15
Energy-Gated DA-TPP,14,48,17
Energy-Gated DA-TPP,14,64,19
Energy-Gated DA-TPP,14,80,26
Energy-Gated DA-TPP,14,96,30
Energy-Gated DA-TPP,14,112,36
Energy-Gated DA-TPP,14,128,40
Energy-Gated DA-TPP,14,144,46
Energy-Gated DA-TPP,14,160,50
Energy-Gated DA-TPP,14,176,56
Energy-Gated DA-TPP,14,192,62
Energy-Gated DA-TPP,14,208,69
Energy-Gated DA-TPP,14,224,73
Energy-Gated DA-TPP,14,240,81
Energy-Gated DA-TPP,14,256,88
Energy-Gated DA-TPP,14,272,91
Energy-Gated DA-TPP,14,288,95
Energy-Gated DA-TPP,14,304,97
Energy-Gated DA-TPP,14,320,101
Predicted-Target Greedy,5,16,8
Predicted-Target Greedy,5,32,15
Predicted-Target Greedy,5,48,17
Predicted-Target Greedy,5,64,19
Predicted-Target Greedy,5,80,26
Predicted-Target Greedy,5,96,30
Predicted-Target Greedy,5,112,36
Predicted-Target Greedy,5,128,40
Predicted-Target Greedy,5,144,46
Predicted-Target Greedy,5,160,50
Predicted-Target Greedy,5,176,56
Predicted-Target Greedy,5,192,62
Predicted-Target Greedy,5,208,69
Predicted-Target Greedy,5,224,73
Predicted-Target Greedy,5,240,81
Predicted-Target Greedy,5,256,88
Predicted-Target Greedy,5,272,91
Predicted-Target Greedy,5,288,94
Predicted-Target Greedy,5,304,98
Predicted-Target Greedy,5,320,103
Predicted-Target Greedy,6,16,8
Predicted-Target Greedy,6,32,15
Predicted-Target Greedy,6,48,17
Predicted-Target Greedy,6,64,19
Predicted-Target Greedy,6,80,26
Predicted-Target Greedy,6,96,30
Predicted-Target Greedy,6,112,36
Predicted-Target Greedy,6,128,40
Predicted-Target Greedy,6,144,46
Predicted-Target Greedy,6,160,50
Predicted-Target Greedy,6,176,56
Predicted-Target Greedy,6,192,62
Predicted-Target Greedy,6,208,69
Predicted-Target Greedy,6,224,73
Predicted-Target Greedy,6,240,81
Predicted-Target Greedy,6,256,88
Predicted-Target Greedy,6,272,91
Predicted-Target Greedy,6,288,95
Predicted-Target Greedy,6,304,99
Predicted-Target Greedy,6,320,103
Predicted-Target Greedy,7,16,8
Predicted-Target Greedy,7,32,15
Predicted-Target Greedy,7,48,17
Predicted-Target Greedy,7,64,19
Predicted-Target Greedy,7,80,26
Predicted-Target Greedy,7,96,30
Predicted-Target Greedy,7,112,36
Predicted-Target Greedy,7,128,40
Predicted-Target Greedy,7,144,46
Predicted-Target Greedy,7,160,50
Predicted-Target Greedy,7,176,56
Predicted-Target Greedy,7,192,62
Predicted-Target Greedy,7,208,69
Predicted-Target Greedy,7,224,73
